Date,no_wholeblood_platelets_packedredcells,Date,no_wholeblood_platelets_packedredcells
2018-07-01 - 2018-07-03,79,2018-09-22 - 2018-09-24,274
2018-07-04 - 2018-07-06,270,2018-09-25 - 2018-09-27,257
2018-07-07 - 2018-07-09,70,2018-09-28 - 2018-09-30,212
2018-07-10 - 2018-07-12,178,,
2018-07-13 - 2018-07-15,264,,
2018-07-16 - 2018-07-18,126,,
2018-07-19 - 2018-07-21,87,,
2018-07-22 - 2018-07-24,70,,
2018-07-25 - 2018-07-27,263,,
2018-07-28 - 2018-07-30,137,,
2018-07-31 - 2018-08-02,279,,
2018-08-03 - 2018-08-05,300,,
2018-08-06 - 2018-08-08,122,,
2018-08-09 - 2018-08-11,267,,
2018-08-12 - 2018-08-14,244,,
2018-08-15 - 2018-08-17,298,,
2018-08-18 - 2018-08-20,113,,
2018-08-21 - 2018-08-23,151,,
2018-08-24 - 2018-08-26,274,,
2018-08-27 - 2018-08-29,211,,
2018-08-30 - 2018-09-01,121,,
2018-09-02 - 2018-09-04,60,,
2018-09-05 - 2018-09-07,335,,
2018-09-08 - 2018-09-10,318,,
2018-09-11 - 2018-09-13,297,,
2018-09-14 - 2018-09-16,208,,
2018-09-17 - 2018-09-19,95,,
2018-09-20 - 2018-09-21,298,,
,,,
,,,
,,,
