"Supply","Demand","period","newsupply"
170,80,1,461
291,135,2,0
225,105,3,560
335,155,4,0
511,235,5,846
335,155,6,0
192,90,7,417
225,105,8,0
170,80,9,582
412,190,10,0
346,160,11,648
302,140,12,0
291,135,13,560
269,125,14,0
192,90,15,538
346,160,16,0
170,80,17,681
511,235,18,0
159,75,19,549
390,180,20,0
577,265,21,758
181,85,22,0
368,170,23,703
335,155,24,0
654,300,25,1055
401,185,26,0
1083,495,27,1297
214,100,28,0
599,275,29,1011
412,190,30,0
511,235,31,835
324,150,32,0
412,190,33,813
401,185,34,0
423,195,35,725
302,140,36,0
258,120,37,670
412,190,38,0
225,105,39,417
192,90,40,0
214,100,41,406
192,90,42,0
368,170,43,736
368,170,44,0
401,185,45,1231
830,380,46,0
401,185,47,802
401,185,48,0
643,295,49,824
181,85,50,0
170,80,51,395
225,105,52,0
302,140,53,736
434,200,54,0
225,105,55,395
170,80,56,0
302,140,57,516
214,100,58,0
269,125,59,505
236,110,60,0
214,100,61,439
225,105,62,0
412,190,63,670
258,120,64,0
1083,495,65,1319
236,110,66,0
412,190,67,824
412,190,68,0
203,95,69,428
225,105,70,0
258,120,71,912
654,300,72,0
269,125,73,626
357,165,74,0
511,235,75,1495
984,450,76,0
566,260,77,813
247,115,78,0
423,195,79,1000
577,265,80,0
533,245,81,802
269,125,82,0
621,285,83,1110
489,225,84,0
643,295,85,1297
654,300,86,0
478,220,87,901
423,195,88,0
841,385,89,1242
401,185,90,0
654,300,91,1066
412,190,92,0
401,185,93,769
368,170,94,0
214,100,95,428
214,100,96,0
225,105,97,626
401,185,98,0
225,105,99,461
236,110,100,0
192,90,101,725
533,245,102,0
401,185,103,648
247,115,104,0
302,140,105,868
566,260,106,0
511,235,107,923
412,190,108,0
313,145,109,615
302,140,110,0
984,450,111,1297
313,145,112,0
291,135,113,648
357,165,114,0
401,185,115,934
533,245,116,0
412,190,117,626
214,100,118,0
423,195,119,934
511,235,120,0
236,110,121,659
423,195,122,0
368,170,123,747
379,175,124,0
412,190,125,560
148,70,126,0
269,125,127,615
346,160,128,0
643,295,129,1154
511,235,130,0
753,345,131,1198
445,205,132,0
599,275,133,769
170,80,134,0
434,200,135,604
170,80,136,0
335,155,137,989
654,300,138,0
401,185,139,802
401,185,140,0
357,165,141,868
511,235,142,0
247,115,143,417
170,80,144,0
269,125,145,439
170,80,146,0
423,195,147,824
401,185,148,0
533,245,149,802
269,125,150,0
368,170,151,582
214,100,152,0
654,300,153,901
247,115,154,0
401,185,155,890
489,225,156,0
368,170,157,637
269,125,158,0
489,225,159,791
302,140,160,0
291,135,161,945
654,300,162,0
346,160,163,615
269,125,164,0
192,90,165,439
247,115,166,0
203,95,167,714
511,235,168,0
214,100,169,439
225,105,170,0
599,275,171,1242
643,295,172,0
269,125,173,571
302,140,174,0
346,160,175,527
181,85,176,0
192,90,177,461
269,125,178,0
401,185,179,802
401,185,180,0
302,140,181,725
423,195,182,0
467,215,183,1110
643,295,184,0
335,155,185,681
346,160,186,0
214,100,187,571
357,165,188,0
269,125,189,538
269,125,190,0
181,85,191,505
324,150,192,0
170,80,193,560
390,180,194,0
599,275,195,1022
423,195,196,0
214,100,197,505
291,135,198,0
313,145,199,736
423,195,200,0
269,125,201,868
599,275,202,0
192,90,203,538
346,160,204,0
709,325,205,890
181,85,206,0
489,225,207,758
269,125,208,0
269,125,209,571
302,140,210,0
236,110,211,461
225,105,212,0
247,115,213,725
478,220,214,0
269,125,215,450
181,85,216,0
335,155,217,736
401,185,218,0
566,260,219,978
412,190,220,0
841,385,221,1055
214,100,222,0
434,200,223,846
412,190,224,0
489,225,225,736
247,115,226,0
654,300,227,824
170,80,228,0
302,140,229,670
368,170,230,0
390,180,231,703
313,145,232,0
401,185,233,615
214,100,234,0
236,110,235,604
368,170,236,0
269,125,237,494
225,105,238,0
401,185,239,648
247,115,240,0
225,105,241,450
225,105,242,0
159,75,243,648
489,225,244,0
225,105,245,494
269,125,246,0
181,85,247,934
753,345,248,0
170,80,249,571
401,185,250,0
247,115,251,615
368,170,252,0
346,160,253,615
269,125,254,0
533,245,255,1132
599,275,256,0
170,80,257,417
247,115,258,0
170,80,259,384
214,100,260,0
225,105,261,417
192,90,262,0
401,185,263,1154
753,345,264,0
401,185,265,835
434,200,266,0
148,70,267,362
214,100,268,0
302,140,269,571
269,125,270,0
236,110,271,637
401,185,272,0
225,105,273,494
269,125,274,0
269,125,275,461
192,90,276,0
148,70,277,417
